ServiceDateTime,Routes,RouteName,EarlyDeparture,OnTime,LateArrival,Missing,TimePointCount,OTP,AverageDwellTime,
9/26/2016,,,,129,41,216,145,68.35,149.99,
9/27/2016,,,,76,155,172,171,80.92,104.88,
9/28/2016,,,,113,136,137,130,80.48,92.44,
9/30/2016,,,,61,26,143,233,74.9,198.62,
10/1/2016,,,,81,88,132,85,67.2,203.66,
10/2/2016,,,,88,163,155,274,81.28,213.94,
10/3/2016,,,,133,100,100,817,83.56,123.39,
10/4/2016,,,,207,124,186,172,82.69,160.76,
10/5/2016,,,,143,122,117,67,90.98,186.77,
10/6/2016,,,,607,180,198,540,75.71,244.04,
10/7/2016,,,,549,71,167,339,82.8,93.36,
10/8/2016,,,,635,138,71,663,88.18,247.07,
10/9/2016,,,,161,272,149,752,72.26,97.32,
10/10/2016,,,,52,120,195,413,85.84,92.4,
10/11/2016,,,,414,167,266,399,73.79,255.86,
10/12/2016,,,,243,112,152,440,87.13,119.23,
10/13/2016,,,,280,153,169,459,88.97,140.93,
10/14/2016,,,,582,94,146,402,79.05,167.37,
10/15/2016,,,,111,118,166,564,69.09,119.61,
10/16/2016,,,,678,12,128,372,86.92,219.13,
10/17/2016,,,,340,204,159,323,57.44,73.23,
10/18/2016,,,,372,175,141,570,80.69,108.35,
10/19/2016,,,,387,140,158,327,71.76,90.37,
10/20/2016,,,,312,145,153,533,92.05,129.76,
10/21/2016,,,,411,170,142,313,90.72,127.5,
10/22/2016,,,,304,313,191,116,92.36,140.12,
10/23/2016,,,,264,79,157,305,75.55,201.07,
10/24/2016,,,,401,266,184,684,88.82,275.1,
10/25/2016,,,,257,113,181,248,79.89,98.61,
10/26/2016,,,,442,117,134,640,74.3,123.69,
10/27/2016,,,,273,123,194,631,82.68,153.23,
10/28/2016,,,,283,165,188,558,89.56,82.48,
10/29/2016,,,,10,344,199,555,87.67,68.58,
10/30/2016,,,,379,228,178,493,93.6,85.57,
10/31/2016,,,,90,111,175,299,77.61,166.87,
11/1/2016,,,,224,133,185,425,76.67,101.3,
11/2/2016,,,,131,295,174,278,71.68,165.13,
11/3/2016,,,,643,230,164,202,84.08,105.71,
11/4/2016,,,,104,279,131,449,87.78,32.19,
11/5/2016,,,,478,188,171,550,86.05,195.19,
11/6/2016,,,,169,405,163,1426,90.16,158.46,
11/7/2016,,,,427,335,197,429,82.32,129.96,
11/8/2016,,,,332,174,140,1365,93.23,131.32,
11/9/2016,,,,263,197,881,405,87.95,163.05,
11/10/2016,,,,209,172,656,763,75.6,133.09,
11/11/2016,,,,383,146,714,551,72.87,117.86,
11/12/2016,,,,412,132,399,80,81.72,138.41,
11/13/2016,,,,1159,114,549,220,81.73,83.44,
11/14/2016,,,,226,166,384,100,70.35,98.36,
11/15/2016,,,,206,97,378,132,78.59,121.8,
11/16/2016,,,,310,102,482,253,82.93,118.74,
11/17/2016,,,,354,226,612,95,75.62,188.94,
11/18/2016,,,,1045,147,681,147,78.83,263.07,
11/19/2016,,,,689,141,455,120,85.3,116.12,
11/20/2016,,,,567,103,400,127,62.5,158.8,
11/21/2016,,,,135,221,443,427,77.59,177.06,
11/22/2016,,,,179,261,580,234,73.44,172.71,
11/23/2016,,,,89,89,406,82,60.09,215.66,
11/24/2016,,,,106,225,569,98,94.01,313.58,
11/25/2016,,,,102,151,354,275,78.23,161.79,
