ServiceDate,Routes,RouteName,CurrentRevenue,Ridership,TokenCount,TicketCount,PassCount,BillCount,UnclassifiedRevenue,DumpCount,
9/8/2016,7584,,214.97,2271,482,,1404,119,24.39,65,
9/9/2016,8321,,447.38,196,47,,1426,157,11.79,157,
9/10/2016,,,175.35,2505,228,,332,1031,34.57,253,
9/11/2016,,,724.07,2199,107,,744,123,5.78,128,
9/12/2016,,,59.38,583,154,,1104,461,68.72,129,
9/13/2016,,,711.81,1774,207,,1186,403,33.71,122,
9/14/2016,,,716.98,1958,67,,582,636,9.22,235,
9/15/2016,,,184.42,921,122,,661,556,14.24,351,
9/16/2016,,,322.73,1141,58,,158,185,33.36,156,
9/17/2016,,,651.58,285,223,,683,164,39.03,199,
9/18/2016,,,722.15,408,117,,1507,66,8.11,134,
9/19/2016,,,286.75,988,795,,1051,41,34.32,117,
9/20/2016,,,342.9,2408,1352,,3656,89,4.24,189,
9/21/2016,,,57.26,1716,60,,186,64,8.89,150,
9/22/2016,,,111.94,5390,209,,142,54,12.45,61,
9/23/2016,,,263.04,420,26,,653,130,33.25,125,
9/24/2016,,,777.86,249,110,,392,69,36.59,42,
9/25/2016,,,601.57,12,187,,520,57,86.17,175,
9/26/2016,,,1385.78,983,93,,462,51,10.97,236,
9/27/2016,,,298.52,635,203,,3488,82,3.78,57,
9/28/2016,,,93.44,838,206,,522,173,9.96,203,
9/29/2016,,,329.57,787,192,,1263,177,7.93,205,
9/30/2016,,,215.84,5619,96,,1480,34,17.58,98,
10/1/2016,,,297.48,848,261,,2039,102,28.43,63,
10/2/2016,,,327.14,2288,85,,2306,690,85.43,259,
10/3/2016,,,1874.41,2284,1961,,636,252,22.73,383,
10/4/2016,,,287.27,3203,125,,422,442,48.36,565,
10/5/2016,,,902.66,3518,262,,203,304,53.41,273,
10/6/2016,,,763.55,974,320,,75,39,55.09,243,
10/7/2016,,,1134.0,751,57,,245,26,43.42,323,
10/8/2016,,,1022.56,327,175,,182,248,37.33,314,
10/9/2016,,,355.85,158,2602,,204,218,19.93,22,
10/10/2016,,,313.88,446,461,,334,489,19.18,58,
10/11/2016,,,131.74,323,5449,,185,153,8.93,24,
10/12/2016,,,96.42,330,501,,127,316,15.19,88,
10/13/2016,,,170.48,544,583,,306,265,9.87,21,
10/14/2016,,,148.28,306,13,,215,281,4.46,45,
10/15/2016,,,105.91,232,827,,258,401,13.32,5,
10/16/2016,,,242.95,549,158,,211,256,6.03,355,
10/17/2016,,,134.17,358,226,,218,220,3.61,193,
10/18/2016,,,99.86,440,1015,,140,380,8.42,261,
10/19/2016,,,269.87,365,4255,,166,206,16.85,164,
10/20/2016,,,160.13,394,494,,455,219,44.88,3,
10/21/2016,,,205.6,233,947,,454,272,11.42,302,
10/22/2016,,,156.34,255,155,,83,121,7.75,317,
10/23/2016,,,161.87,458,3168,,69,7,4.85,143,
10/24/2016,,,108.39,786,252,,232,48,3.6,136,
10/25/2016,,,105.01,153,542,,205,118,7.18,239,
10/26/2016,,,145.23,156,2986,,103,148,14.97,111,
10/27/2016,,,311.64,293,294,,1705,211,17.76,66,
10/28/2016,,,326.51,372,73,,1327,352,2.61,55,
10/29/2016,,,72.66,355,351,,1704,427,1.58,301,
10/30/2016,,,76.82,584,396,,904,451,6.36,212,
10/31/2016,,,133.32,271,1964,,226,97,6.65,140,
11/1/2016,,,150.55,3010,6059,,51,193,6.2,223,
11/2/2016,,,128.74,1951,449,,724,404,79.54,265,
11/3/2016,,,203.9,2802,378,,794,194,58.13,75,
11/4/2016,,,89.89,1476,876,,850,33,64.18,423,
11/5/2016,,,1270.47,341,4769,,1651,144,23.34,102,
11/6/2016,,,461.69,93,904,,2536,542,8.02,590,
11/7/2016,,,817.66,1186,293,,688,745,4.73,329,
11/8/2016,,,557.75,1224,83,,786,176,22.82,227,
11/9/2016,,,76.3,1367,115,,842,149,18.11,347,
11/10/2016,,,51.58,2641,267,,831,192,15.82,96,
11/11/2016,,,499.03,1024,,,1013,971,35.16,78,
11/12/2016,,,420.28,4001,,,567,611,20.27,139,
11/13/2016,,,407.66,1390,,,432,654,69.03,41,
11/14/2016,,,912.5,1091,,,1119,46,27.88,52,
11/15/2016,,,250.92,1317,,,543,76,36.43,171,
11/16/2016,,,1201.75,1460,,,737,126,21.97,6,
11/17/2016,,,583.1,1469,,,702,86,39.95,85,
11/18/2016,,,262.84,1766,,,270,158,43.1,184,
11/19/2016,,,518.73,1074,,,25,107,32.36,97,
11/20/2016,,,514.57,930,,,752,90,22.3,135,
